"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://zibdigital.com.au/casestudy/assured-roofing/","2","","0","Assured Roofing Digital Marketing Case Study","44","Indexable",""
"https://zibdigital.com.au/new-final-home-page/","1","Digital marketing is like any other investment","46","","0","Indexable",""
"https://zibdigital.com.au/web-graphic-design-melbourne/","1","Intelligent web graphic design","30","","0","Indexable",""
"https://zibdigital.com.au/seo-geelong/","1","SEO Geelong","11","","0","Indexable",""
"https://zibdigital.com.au/seo-agency/","1","Australia’s Leading SEO Agency","30","","0","Indexable",""
"https://zibdigital.com.au/seo-sydney/","1","SEO Sydney","10","","0","Indexable",""
"https://zibdigital.com.au/casestudy/amazing-graze/","2","","0","Amazing Graze Flowers Digital Marketing Case Study","50","Indexable",""
"https://zibdigital.com.au/seo-brisbane/","1","SEO Agency Brisbane","19","","0","Indexable",""
"https://zibdigital.com.au/digital-marketing-agency-canberra/","1","Digital marketing agency canberra","33","","0","Indexable",""
"https://zibdigital.com.au/seo-gold-coast/","1","ROI Driven SEO Gold Coast Agency","32","","0","Indexable",""
"https://zibdigital.com.au/social-media-marketing/","1","Increase your reach, awareness & engagement","43","","0","Indexable",""
"https://zibdigital.com.au/casestudy/the-fruit-box-group/","2","","0","The Fruit Box Group Digital Marketing Case Study","48","Indexable",""
"https://zibdigital.com.au/starsha-green/","1","The point of our business is to grow your business","50","","0","Indexable",""
"https://zibdigital.com.au/team/matt-jackson/","2","Our Partners.","13","Matthew Jackson","15","Indexable",""
"https://zibdigital.com.au/marty-tucker/","1","Turning clicks into customers","29","","0","Indexable",""
"https://zibdigital.com.au/daniel-harris/","1","The point of our business is to grow your business","50","","0","Indexable",""
"https://zibdigital.com.au/corrine-chalmers/","1","Strategies to help businesses succeed online","44","","0","Indexable",""
"https://zibdigital.com.au/dylan-jake/","1","The point of our business is to grow your business","50","","0","Indexable",""
"https://zibdigital.com.au/team/brandon-wood/","2","Our Partners.","13","Brandon Wood","12","Indexable",""
"https://zibdigital.com.au/category/paid-advertising/","1","Paid advertising","16","","0","Non-Indexable","noindex"
"https://zibdigital.com.au/how-we-delivered-a-record-season-for-an-adventure-tourism-brand/","1","How we delivered a record season for an adventure tourism brand","63","","0","Indexable",""
"https://zibdigital.com.au/category/social-media/","1","Social media","12","","0","Non-Indexable","noindex"
"https://zibdigital.com.au/category/digital-marketing/","1","Digital Marketing","17","","0","Non-Indexable","noindex"
"https://zibdigital.com.au/category/seo/","1","SEO","3","","0","Non-Indexable","noindex"
"https://zibdigital.com.au/how_to_align_seo/","1","From Clicks to Customers: How to Align SEO and UX for Better Lead Quality","73","","0","Indexable",""
"https://zibdigital.com.au/google-ads-2025-roas/","1","Google Ads in 2025: Why Your ROAS Plateaued (and What to Do About It)","69","","0","Indexable",""
"https://zibdigital.com.au/the-holidays-go-digital/","1","The Holidays Go Digital","23","","0","Indexable",""
"https://zibdigital.com.au/wasting-google-ad-budget/","1","Signs You’re Wasting Your Google Ad Budget","42","","0","Indexable",""
"https://zibdigital.com.au/why-ppc-is-the-perfect-complement-to-your-seo-strategy/","1","Why PPC Is the Perfect Complement to Your SEO Strategy","54","","0","Indexable",""
"https://zibdigital.com.au/casestudy-category/social-media/","1","Social media","12","","0","Non-Indexable","noindex"
"https://zibdigital.com.au/casestudy-category/web-design/","1","Web design","10","","0","Non-Indexable","noindex"
"https://zibdigital.com.au/casestudy/twelve-board-store/","2","","0","Twelve Board Store Digital Marketing Case Study","47","Indexable",""
"https://zibdigital.com.au/casestudy/ncc/","2","","0","National Crime Check Digital Marketing Case Study","49","Indexable",""
"https://zibdigital.com.au/casestudy/wicked-sista/","2","","0","Wicked Sista Digital Marketing Case Study","41","Indexable",""
"https://zibdigital.com.au/casestudy-category/digital-marketing/","1","Digital marketing","17","","0","Non-Indexable","noindex"
"https://zibdigital.com.au/casestudy/puma/","2","","0","PUMA Digital Marketing Case Study","33","Indexable",""
"https://zibdigital.com.au/casestudy-category/seo-portfolio/","1","SEO","3","","0","Non-Indexable","noindex"
